DEST,MSNAME,N_RETURNEES,total_dep
Afghanistan,Austria,377,3873
Afghanistan,Bulgaria,23,231
Afghanistan,Denmark,19,84
Afghanistan,Finland,65,501
Afghanistan,Germany,937,35676
Afghanistan,Hungary,38,1033
Afghanistan,Sweden,415,2346
Albania,Austria,192.5,3873
Albania,Belgium,743,1219
Albania,Finland,86,501
Albania,France,4742.5,5546
Albania,Germany,8533.5,35676
Albania,Hungary,23,1033
Albania,Iceland,323.5,693
Albania,Ireland,34,759
Albania,Italy,63,9302
Albania,Luxembourg,53.5,274
Albania,Netherlands,199.5,555
Albania,Spain,447,5547
Albania,Sweden,442.5,2346
Albania,United Kingdom,147,707
Armenia,Austria,199.5,3873
Armenia,Belgium,21.5,1219
Armenia,France,24.5,5546
Armenia,Germany,625.5,35676
Armenia,Greece,17,1063
Armenia,Poland,18.5,373
Armenia,Spain,46.5,5547
Armenia,Sweden,67,2346
Azerbaijan,Germany,171,35676
Bangladesh,Austria,15,3873
Bangladesh,Germany,252,35676
Bangladesh,Spain,62,5547
Bosnia and Herzegovina,Germany,559.5,35676
Bosnia and Herzegovina,Luxembourg,25,274
Bosnia and Herzegovina,Sweden,24,2346
Cameroon,Germany,24,35676
Cameroon,Netherlands,35.5,555
Cameroon,Spain,16,5547
Cameroon,Switzerland,23.5,549
Colombia,Italy,15.5,9302
Colombia,Spain,1724.5,5547
Congo DR,Belgium,164,1219
Congo DR,Ireland,53.5,759
Congo DR,Switzerland,24.5,549
Dominican Republic,Spain,364,5547
Ecuador,Italy,17.5,9302
Ecuador,Spain,832.5,5547
Egypt,Germany,77,35676
Egypt,Italy,444,9302
Ethiopia,Sweden,15,2346
Gambia,Austria,40.5,3873
Gambia,Germany,162.5,35676
Gambia,Sweden,16,2346
Gambia,United Kingdom,17.5,707
Georgia,Austria,486,3873
Georgia,Belgium,27.5,1219
Georgia,France,344.5,5546
Georgia,Germany,2942.5,35676
Georgia,Greece,204,1063
Georgia,Hungary,16.5,1033
Georgia,Iceland,81,693
Georgia,Ireland,39.5,759
Georgia,Italy,71,9302
Georgia,Lithuania,19,38
Georgia,Poland,162.5,373
Georgia,Spain,570.5,5547
Georgia,Sweden,149.5,2346
Georgia,Switzerland,83,549
Ghana,Germany,262,35676
Guinea,Belgium,45,1219
Guinea,France,16,5546
Guinea,Germany,42,35676
Guinea,Spain,24,5547
Guinea,Switzerland,16,549
Iraq,Finland,17,501
Iraq,Germany,25,35676
Iraq,Netherlands,26,555
Iraq,Norway,66,781
Iraq,Sweden,161,2346
Iraq,United Kingdom,28,707
Kosovo,Austria,1066.5,3873
Kosovo,Belgium,32,1219
Kosovo,Finland,148,501
Kosovo,France,138.5,5546
Kosovo,Germany,5873,35676
Kosovo,Hungary,766.5,1033
Kosovo,Luxembourg,35.5,274
Kosovo,Norway,77,781
Kosovo,Sweden,288,2346
Kosovo,United Kingdom,20,707
Lebanon,Norway,64,781
Macedonia,Austria,38,3873
Macedonia,Germany,2367.5,35676
Macedonia,Iceland,240,693
Macedonia,Sweden,64,2346
Mauritania,Spain,330,5547
Moldova,Germany,1676,35676
Mongolia,Sweden,152,2346
Montenegro,Germany,292,35676
Nigeria,Austria,927,3873
Nigeria,Belgium,80,1219
Nigeria,Bulgaria,75,231
Nigeria,Denmark,45.5,84
Nigeria,Finland,101,501
Nigeria,France,115,5546
Nigeria,Germany,897.5,35676
Nigeria,Greece,183.5,1063
Nigeria,Hungary,89.5,1033
Nigeria,Ireland,531.5,759
Nigeria,Italy,1926.5,9302
Nigeria,Luxembourg,55,274
Nigeria,Malta,100,117
Nigeria,Netherlands,239,555
Nigeria,Norway,477,781
Nigeria,Poland,44,373
Nigeria,Portugal,23,40
Nigeria,Romania,15,54
Nigeria,Spain,517,5547
Nigeria,Sweden,142.5,2346
Nigeria,Switzerland,235.5,549
Nigeria,United Kingdom,434.5,707
North Macedonia,Austria,19,3873
North Macedonia,Germany,579,35676
Pakistan,Austria,194,3873
Pakistan,Belgium,30,1219
Pakistan,Bulgaria,79,231
Pakistan,France,51,5546
Pakistan,Germany,982,35676
Pakistan,Greece,617,1063
Pakistan,Hungary,78,1033
Pakistan,Ireland,55,759
Pakistan,Italy,25,9302
Pakistan,Norway,22,781
Pakistan,Poland,32,373
Pakistan,Spain,191,5547
Pakistan,Sweden,52,2346
Pakistan,Switzerland,23.5,549
Pakistan,United Kingdom,43,707
Peru,Spain,20,5547
Russia,Austria,176,3873
Russia,Germany,609,35676
Russia,Poland,44,373
Russia,Switzerland,19,549
Senegal,Germany,15,35676
Senegal,Spain,203,5547
Serbia,Austria,63,3873
Serbia,Belgium,42,1219
Serbia,France,20.5,5546
Serbia,Germany,6399,35676
Serbia,Iceland,21.5,693
Serbia,Luxembourg,63.5,274
Serbia,Sweden,320,2346
Sri Lanka,Bulgaria,23,231
Sri Lanka,Switzerland,16,549
Sudan,Italy,40,9302
Sudan,Switzerland,17.5,549
Togo,Germany,19.5,35676
Tunisia,Germany,847,35676
Tunisia,Italy,6651,9302
Turkey,Germany,21,35676
Ukraine,Austria,29.5,3873
Ukraine,France,22,5546
Ukraine,Germany,325.5,35676
Ukraine,Italy,21,9302
Ukraine,Spain,155.5,5547
Vietnam,Germany,83,35676
Vietnam,Poland,43,373
Vietnam,Romania,25,54
