date,type,Germany,Austria,Italy,Spain,Sweden,France,Norway,Greece,Netherlands,Switzerland,Frontex,Finland,Belgium,Iceland,UK,Ireland,Denmark,Hungary,Bulgaria,Luxembourg,Poland,Malta,Monitor(s),Albania,Portugal,Georgia,Romania,Czech Republic,Slovenia,Cyprus,Lithuania,Montenegro,Slovakia,Ukraine,Latvia,Estonia,Croatia
2014,frontex_contribution_per_person,1653.597399577167,7295.700625,5590.831596638655,5970.358263473054,5331.455540540541,2152.7327741935483,6822.899892473119,0,34281.72285714286,11688.276666666667,0,5248.443833333334,0,7074.26,5592.165853658536,0,722.1388235294118,449.80319444444444,635.4054838709677,355.68882352941176,221.67446153846154,2975.5355555555557,0,0,1553.68,0,1868.67,0,0,0,0,0,13.76,0,0,0,0
2015,frontex_contribution,2091722.91,1614831.52,1450169.47,1536332.47,997257.8,389051.78,784042.42,328,529663.25,295588.494,9,316666.57,143742.35,129122.04000000001,180030,127091.58,398589.48,103736.65000000001,104576.48999999999,41378.409999999996,7641.79,13882.85,0,0,1558.85,0,3846.76,108,0,0,2441.7,0,196.86,0,0,1093.22,166.78
2015,frontex_contribution_per_person,1510.2692490974728,5225.991974110032,5847.457540322581,6374.823526970954,3679.918081180812,1888.6008737864079,10595.167837837838,0,15133.235714285714,4618.57021875,0,5459.768448275862,2113.8580882352944,2934.5918181818183,4000.6666666666665,10590.965,66431.58,303.3235380116959,1472.9083098591548,1655.1363999999999,477.611875,1542.538888888889,0,0,1558.85,0,961.69,108,0,0,203.475,0,196.86,0,0,546.61,41.695
2016,frontex_contribution,9919084.942,2747033.84,2136220.32,3144259.37,1223455.69,971379.22,644616.5399999999,1826933.75,385817.01999999996,664921.262,7349.9,172068.36,356258.1528,496009.68,0,0,624368.45,34380.124,2347.7000000000003,33672.9,0,1631.92,0,0,1980.7,0,0,0,0,0,3752.8199999999997,0,0,0,0,0,0
2016,frontex_contribution_per_person,1367.018321664829,8665.72189274448,2670.2754,8685.799364640885,3776.097808641975,3432.4354063604237,7006.70152173913,8955.557598039215,6652.017586206895,7642.773126436781,3674.95,2568.18447761194,1957.4623780219779,2624.3898412698413,0,0,44597.74642857142,245.5723142857143,293.46250000000003,1122.43,0,407.98,0,0,1980.7,0,0,0,0,0,416.97999999999996,0,0,0,0,0,0
2017,frontex_contribution,11641266.41,6688517.89,6013431.7299999995,2399115.37,2610779.35,3579183.7,393682.60000000003,2950162.55,734405.84,653848.69,0,1122862.52,1546131.49,1087127.77,0,0,152172.32,6575.52,46985.88,71250.63,0,0,128980.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,frontex_contribution_per_person,1347.8367963413223,12363.249334565618,3018.791029116466,5865.807750611247,11867.178863636364,3515.8975442043225,10935.62777777778,15207.023453608246,25324.339310344825,7515.5021839080455,0,11228.6252,5581.702129963899,3552.7051307189545,0,0,5636.011851851852,70.70451612903226,1515.6735483870966,879.6374074074074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,frontex_contribution,12410038.27,5820822.86,5443518.29,2682355.9,1320059.67,2759314.62,196648.29,0,122875.28,1295868.51,901316.74,534021.51,621935.35,653580.92,0,0,0,217267.66999999998,18416.55,11060.11,14059.2,0,0,0,7064.07,0,0,7075.84,0,0,6156.96,0,0,0,0,0,0
2018,frontex_contribution_per_person,1811.1556144191477,8303.598944365192,6481.0068020025155,4426.3298679867985,10154.305153846153,2550.1983548983367,15126.791538461539,0,967.5218897637795,15998.376666666667,0,18414.53482758621,2401.2947876447874,7874.468915662651,0,0,0,7491.9886206896545,2302.06875,1228.9011111111113,2343.2000000000003,0,0,0,1766.0175,0,0,0,0,0,3078.48,0,0,0,0,0,0
2019,frontex_contribution,26374053.32,6790512.67,4176211.2399999998,3346856.32,5198082.82,2602206.05,383785.77999999997,0,10945.67,1065511.22,2602206,407254.68,580023.86,343414.14,0,0,90860.88,55660.77,99223.41,67101.98,21100.42,0,0,81216.05,681.75,32003.27,6266.04,6722.56,6016.97,0,0,2696.4,0,4878.13,0,0,0
2019,frontex_contribution_per_person,4523.075513634025,10511.629520123839,2241.6592807300053,5002.774768310912,16093.135665634676,1882.9276772793053,21321.43222222222,0,1216.1855555555555,32288.218787878788,0,13137.247741935484,2672.9210138248845,12264.790714285715,0,0,15143.480000000001,3710.718,3968.9364,2795.915833333333,5275.105,0,0,0,681.75,0,3133.02,2240.8533333333335,2005.6566666666668,0,0,0,0,0,0,0,0
2020,frontex_contribution,9386724.26,1188678.81,1641745.91,531479.06,1438378.05,1344010.78,16567.07,0,11331.240000000002,0,418500,171350.54,345354.87,66927.57,0,0,0,16857.350000000002,13288.57,35814.28,17929.059999999998,0,0,25355.960000000003,0,11490.51,0,0,5959,0,0,2696.4,0,0,0,0,0
2020,frontex_contribution_per_person,2437.4770864710463,4952.828375,1101.1038967136149,1488.7368627450983,14529.071212121213,1342.668111888112,2366.7242857142855,0,755.416,0,0,7450.0234782608695,5954.394310344827,4182.973125,0,0,0,1204.0964285714288,1898.3671428571429,2984.523333333333,853.7647619047618,0,0,0,0,0,0,0,1986.3333333333333,0,0,0,0,0,0,0,0
