year,Member States,Returnees_total,Frontex staff,"Escorts, observers, escort leaders, medical staff",Medical personnel,Monitors,frontex_contribution,Escort Leaders,Escorts,Escorts from Pool,frontex_contribution_per_person,use_of_force
2020,Malta,2,0,5,0,0,0,1,4,0,0,2.5
2020,Montenegro,0,1,0,0,0,2696.4,0,0,0,0,0
2020,Netherlands,15,2,55,0,7,11331.240000000002,5,50,0,755.416,3.6666666666666665
2020,Norway,7,1,20,0,3,16567.07,3,17,0,2366.7242857142855,2.857142857142857
2020,Poland,21,4,64,0,7,17929.059999999998,8,56,0,853.7647619047618,3.0476190476190474
2020,Romania,27,0,54,0,3,0,3,51,0,0,2
2020,Slovakia,1,1,6,0,2,0,1,5,0,0,6
2020,Slovenia,3,0,3,0,0,5959,1,2,0,1986.3333333333333,1
2020,Spain,357,0,554,0,11,531479.06,8,546,0,1488.7368627450983,1.5518207282913166
2020,Sweden,99,8,206,0,11,1438378.05,12,191,0,14529.071212121213,2.0505050505050506
