year,Member States,Returnees_total,Frontex staff,"Escorts, observers, escort leaders, medical staff",Medical personnel,Monitors,frontex_contribution,Escort Leaders,Escorts,Escorts from Pool,frontex_contribution_per_person,use_of_force
2011,Czech Republic,1,0,2,0,0,2367.35,0,0,0,2367.35,0
2011,Denmark,9,0,25,0,1,11462.17,0,0,0,1273.5744444444445,0
2011,Finland,45,0,107,0,0,457087.46,0,0,0,10157.499111111112,0
2011,France,49,0,144,0,0,505140.12,0,0,0,10308.982040816327,0
2011,Frontex,0,34,6,0,0,47336.72,0,0,0,0,0
2011,Germany,390,0,460,0,0,809804.87,0,0,0,2076.4227435897437,0
2011,Greece,20,0,55,0,0,4759.8,0,0,0,237.99,0
2011,Hungary,14,0,39,0,0,6760.49,0,0,0,482.89214285714286,0
2011,Ireland,185,0,296,0,2,538568.05,0,0,0,2911.178648648649,0
2011,Italy,104,0,270,0,0,382364.57999999996,0,0,0,3676.5824999999995,0
2011,Latvia,0,0,3,0,0,612.82,0,0,0,0,0
2011,Luxembourg,1,0,4,0,1,19180.98,0,0,0,19180.98,0
2011,Malta,12,0,33,0,0,9499.470000000001,0,0,0,791.6225000000001,0
2011,Netherlands,43,0,124,0,3,735572.72,0,0,0,17106.342325581394,0
2011,Norway,215,0,423,0,0,549855.27,0,0,0,2557.4663720930234,0
2011,Poland,21,0,38,0,0,16457.96,0,0,0,783.712380952381,0
2011,Portugal,17,0,31,0,0,33574.87,0,0,0,1974.9923529411767,0
2011,Romania,1,0,3,0,0,0,0,0,0,0,0
2011,Slovakia,2,0,4,0,0,54.79,0,0,0,27.395,0
2011,Spain,550,0,946,0,0,1565609.1199999999,0,0,0,2846.5620363636363,0
2011,Sweden,142,0,339,0,0,846102.11,0,0,0,5958.465563380281,0
2011,Switzerland,36,0,123,0,0,99668.93,0,0,0,2768.581388888889,0
2011,UK,113,0,237,0,0,433648.99,0,0,0,3837.6016814159293,0
2011,NA,0,0,0,0,0,406.45,0,0,0,0,0
2012,Austria,184,0,477,0,14,1650541.42,0,0,0,8970.333804347825,0
