user_country,systems,installed,donors,donation_amount,date_of_agreement,entry_into_operation,end_of_operation
Belize,MIDAS,yes,IOM,"IOM: $100,000 (see https://www.iom.int/sites/g/files/tmzbdl486/files/developmentfund/publications/ibm-thematic-review-final.pdf and https://www.iom.int/project/enhancing-migration-management-belize-through-upgrade-migration-information-data-analysis-system-midas)",NA,2012,NA
Benin,MIDAS,yes,"IOM, Germany",NA,NA,NA,NA
Burkina Faso,MIDAS,yes,"IOM, US (Department of State), Japan, EU (uncertain)","IOM: $ amount unknown, provided MIDAS system + training",NA,2016,NA
Burundi,MIDAS,yes,IOM,NA,NA,2024 (uncertain),NA
Cambodia,MIDAS,yes,"IOM, Canada",NA,NA,NA,NA
Central African Republic,MIDAS,yes,IOM,"IOM: budget of $200,000.00 (https://www.iom.int/project/strengthening-border-management-central-african-republic)",NA,2023,NA
Chad,MIDAS,yes,"IOM, Germany (Ministry of Foreign Affairs), Italy (Agency for Development Cooperation)",Germany (via IOM): 5 million Euro,NA,NA,NA
Côte d'Ivoire,MIDAS,yes,"IOM, US",NA,NA,NA,NA
Democratic Republic of the Congo,MIDAS,yes,Belgium,"Belgium: 230,000 Euro",NA,NA,NA
Djibouti,MIDAS,yes,"US, IOM, EU, Germany",IOM (backed by EU and Germany): donated equipment,NA,2022,NA
Ecuador,MIDAS,yes,NA,NA,NA,NA,NA
Ethiopia,MIDAS,yes,"Germany, Switzerland (State Secretariat for Migration), EU, IOM",Germany: 2 million Euro,NA,NA,NA
eSwatini,MIDAS,yes,NA,NA,2022,NA,NA
Fiji,MIDAS,yes,IOM,NA,2020 (uncertain),2020 (uncertain),NA
Georgia,MIDAS,uncertain,EU,NA,NA,NA,NA
Ghana,MIDAS,yes,"US, Germany, IOM",NA,NA,NA,NA
Guinea,MIDAS,yes,"US, IOM, Japan","Japan: $1,573,000",NA,NA,NA
Haiti,MIDAS,yes,"US, IOM",NA,NA,NA,NA
Iraq,MIDAS,yes,"Canada, US, IOM",NA,NA,2021,NA
